,x
1,Aatf
2,Aebp1
3,Aebp2
4,Aff1
5,Aff3
6,Ahctf1
7,Ahr
8,AI987944
9,Akna
10,Alx1
11,Alx3
12,Alx4
13,Ar
14,Arid3a
15,Arid3b
16,Arid3c
17,Arid5b
18,Arnt
19,Arnt2
20,Arntl
21,Arntl2
22,Arx
23,Ascl1
24,Ascl2
25,Ascl3
26,Ascl4
27,Atf1
28,Atf2
29,Atf3
30,Atf4
31,Atf5
32,Atf6
33,Atf6b
34,Atf7
35,Atoh1
36,Atoh8
37,AW146154
38,Bach1
39,Bach2
40,Barhl1
41,Barhl2
42,Barx1
43,Barx2
44,Batf
45,Batf2
46,Batf3
47,Bcl3
48,Bcl6
49,Bcl6b
50,Bcl11a
51,Bcl11b
52,Bhlha15
53,Bhlhe22
54,Bhlhe40
55,Bhlhe41
56,Bmpr1a
57,Bmyc
58,Bsx
59,Btbd8
60,Btg2
61,Camta1
62,Camta2
63,Carf
64,Cbfa2t2
65,Cbfa2t3
66,Cc2d1a
67,Cc2d1b
68,Cdc5l
69,Cdkn2a
70,Cdx1
71,Cdx2
72,Cdx4
73,Cebpa
74,Cebpb
75,Cebpd
76,Cebpe
77,Cebpg
78,Cebpz
79,Cggbp1
80,Chchd3
81,Ciao1
82,Cited1
83,Cited2
84,Clock
85,Cnbp
86,Creb1
87,Creb3
88,Creb3l1
89,Creb3l2
90,Creb3l3
91,Creb3l4
92,Creb5
93,Crebbp
94,Crebl2
95,Crebzf
96,Crem
97,Crx
98,Csrnp1
99,Csrnp2
100,Csrnp3
101,Ctbp1
102,Ctcf
103,Ctcfl
104,Ctnnb1
105,Cux1
106,Cux2
107,Cys1
108,D3Ertd254e
109,Dach1
110,Dach2
111,Dbp
112,Ddit3
113,Ddn
114,Deaf1
115,Dlx2
116,Dlx3
117,Dlx4
118,Dlx5
119,Dmbx1
120,Dmrt1
121,Dmrt2
122,Dmrt3
123,Dmrta1
124,Dmrta2
125,Dmrtb1
126,Dmrtc1a
127,Dmrtc2
128,Dmtf1
129,E2f1
130,E2f2
131,E2f3
132,E2f4
133,E2f5
134,E2f6
135,E2f7
136,E2f8
137,E130308A19Rik
138,Eaf2
139,Ebf1
140,Ebf2
141,Ebf3
142,Ebf4
143,Ecsit
144,Egr1
145,Egr2
146,Ehf
147,Elf1
148,Elf2
149,Elf3
150,Elf4
151,Elf5
152,Elk1
153,Elk3
154,Elk4
155,En1
156,Eno1
157,Eomes
158,Ep300
159,Epas1
160,Epm2aip1
161,Erf
162,Erg
163,Esr1
164,Esr2
165,Esrra
166,Esrrb
167,Esrrg
168,Ets1
169,Ets2
170,Etv1
171,Etv2
172,Etv3
173,Etv4
174,Etv5
175,Etv6
176,EU599041
177,Fbxw7
178,Ferd3l
179,Fev
180,Fezf1
181,Fezf2
182,Figla
183,Fli1
184,Fos
185,Fosb
186,Fosl1
187,Fosl2
188,Foxa1
189,Foxa2
190,Foxa3
191,Foxb1
192,Foxb2
193,Foxc1
194,Foxc2
195,Foxd1
196,Foxd2
197,Foxd3
198,Foxd4
199,Foxe1
200,Foxe3
201,Foxf2
202,Foxg1
203,Foxh1
204,Foxi1
205,Foxi2
206,Foxi3
207,Foxj1
208,Foxj2
209,Foxj3
210,Foxk1
211,Foxk2
212,Foxl1
213,Foxl2
214,Foxm1
215,Foxn1
216,Foxn2
217,Foxn3
218,Foxn4
219,Foxo1
220,Foxo3
221,Foxo4
222,Foxo6
223,Foxp1
224,Foxp2
225,Foxp3
226,Foxp4
227,Foxq1
228,Foxr1
229,Foxr2
230,Foxs1
231,Fubp1
232,Fubp3
233,Gabpa
234,Gabpb1
235,Gabpb2
236,Gata1
237,Gata2
238,Gata3
239,Gata4
240,Gata5
241,Gata6
242,Gatad1
243,Gatad2b
244,Gbx2
245,Gcm1
246,Gcm2
247,Gfi1
248,Gli1
249,Gli2
250,Gli3
251,Glis1
252,Glis2
253,Glis3
254,Gm2381
255,Gm3604
256,Gm4724
257,Gm5141
258,Gm6710
259,Gm10324
260,Gm14124
261,Gm14139
262,Gm14308
263,Gm14322
264,Gm14325
265,Gm14391
266,Gm14403
267,Gm14434
268,Gmeb1
269,Gpbp1
